customer_id,customer_name,signup_date,city,state,pincode
C100000,Reyansh Agarwal,2023-06-16 09:39:40,Mysuru,Karnataka,591127
C100001,Myra Choudhary,2024-01-17 15:03:59,Bhopal,Madhya Pradesh,591363
C100002,Ayaan Mehta,2025-06-10 12:19:07,Coimbatore,Tamil Nadu,620790
C100003,Reyansh Yadav,2023-12-28 02:12:04,Bengaluru,Karnataka,157013
C100004,Navya Reddy,2024-01-22 10:53:57,Coimbatore,Tamil Nadu,256826
C100005,Ananya Choudhary,2023-01-06 03:34:02,Gurugram,Haryana,188113
C100006,Vihaan Nair,2025-06-01 10:12:19,Kolkata,West Bengal,599847
C100007,Aditya Patel,2023-11-14 04:27:35,Lucknow,Uttar Pradesh,145282
C100008,Vivaan Nair,2024-05-24 20:13:16,Kanpur,Uttar Pradesh,277809
C100009,Diya Pandey,2024-04-02 16:47:54,Chennai,Tamil Nadu,621188
C100010,Sai Verma,2023-06-17 08:40:40,Coimbatore,Tamil Nadu,600643
C100011,Aarav Das,2024-08-06 17:35:51,Bengaluru,Karnataka,396268
C100012,Diya Singh,2024-01-29 04:11:46,Coimbatore,Tamil Nadu,505412
C100013,Aarohi Choudhary,2023-02-27 14:01:19,Jaipur,Rajasthan,502515
C100014,Ishaan Das,2024-06-03 17:52:26,Kolkata,West Bengal,206651
C100015,Aadhya Pandey,2023-04-30 10:13:55,Kanpur,Uttar Pradesh,356549
C100016,Myra Pandey,2023-08-30 04:43:11,Hyderabad,Telangana,195395
C100017,Navya Das,2025-09-28 19:50:24,Jaipur,Rajasthan,645633
C100018,Sarah Singh,2024-08-27 12:57:28,Kolkata,West Bengal,502573
C100019,Aditya Khan,2024-09-15 02:59:27,Pune,Maharashtra,646343
C100020,Navya Reddy,2023-01-19 16:00:50,Noida,Uttar Pradesh,475837
C100021,Krishna Reddy,2025-07-15 06:00:15,Chennai,Tamil Nadu,195283
C100022,Anaya Agarwal,2023-07-18 05:40:41,Mysuru,Karnataka,154484
C100023,Khushi Verma,2024-04-25 03:35:03,Coimbatore,Tamil Nadu,200135
C100024,Krishna Yadav,2023-03-12 15:15:10,Jaipur,Rajasthan,407915
C100025,Vivaan Agarwal,2024-04-27 17:51:50,Surat,Gujarat,615694
C100026,Myra Das,2024-12-04 15:49:20,Mumbai,Maharashtra,298726
C100027,Reyansh Das,2024-12-14 10:56:25,Nagpur,Maharashtra,549756
C100028,Ayaan Gupta,2025-02-21 13:03:23,Kanpur,Uttar Pradesh,324223
C100029,Khushi Sharma,2025-06-06 23:01:08,Bhopal,Madhya Pradesh,227399
C100030,Vihaan Verma,2023-12-08 10:58:01,Coimbatore,Tamil Nadu,625609
C100031,Ayaan Agarwal,2024-10-18 22:59:20,Mysuru,Karnataka,290645
C100032,Vivaan Pandey,2023-11-15 06:08:43,Chennai,Tamil Nadu,239344
C100033,Sai Patel,2024-06-10 17:29:43,Nagpur,Maharashtra,252832
C100034,Ishaan Agarwal,2025-03-19 22:40:57,Noida,Uttar Pradesh,397906
C100035,Anaya Yadav,2023-02-25 16:49:45,Hyderabad,Telangana,292058
C100036,Diya Verma,2025-09-25 07:34:50,Gurugram,Haryana,281172
C100037,Ishaan Pandey,2025-09-07 11:12:38,Pune,Maharashtra,246016
C100038,Vihaan Pandey,2025-06-01 08:48:18,Chennai,Tamil Nadu,158825
C100039,Aadhya Nair,2025-02-06 00:06:48,Noida,Uttar Pradesh,123877
C100040,Khushi Reddy,2024-10-08 04:42:13,Mysuru,Karnataka,533206
C100041,Ayaan Khan,2023-11-19 19:35:51,Mumbai,Maharashtra,239065
C100042,Aadhya Mehta,2025-07-22 20:22:47,Kolkata,West Bengal,471756
C100043,Anaya Khan,2023-06-29 02:10:03,Surat,Gujarat,227674
C100044,Ira Singh,2023-12-09 18:26:03,Bengaluru,Karnataka,225074
C100045,Myra Mehta,2023-09-14 16:54:42,Jaipur,Rajasthan,627257
C100046,Aarav Singh,2023-01-05 00:23:10,Surat,Gujarat,506474
C100047,Reyansh Singh,2024-05-17 05:01:19,Lucknow,Uttar Pradesh,361881
C100048,Aarav Das,2025-07-26 20:41:03,Nagpur,Maharashtra,141629
C100049,Ayaan Nair,2023-10-10 08:35:39,Coimbatore,Tamil Nadu,264030
C100050,Ananya Gupta,2024-01-18 13:44:06,Nagpur,Maharashtra,542681
C100051,Aarohi Nair,2023-08-01 10:25:43,Mumbai,Maharashtra,579791
C100052,Aditya Gupta,2025-08-08 22:07:37,Jaipur,Rajasthan,597849
C100053,Aarav Choudhary,2025-07-24 06:36:30,Mumbai,Maharashtra,525769
C100054,Arjun Yadav,2025-05-12 19:00:55,Kanpur,Uttar Pradesh,372199
C100055,Reyansh Yadav,2024-10-10 22:36:55,Pune,Maharashtra,198697
C100056,Krishna Das,2023-03-22 21:00:59,Gurugram,Haryana,211505
C100057,Reyansh Singh,2024-01-24 16:22:02,Mysuru,Karnataka,452864
C100058,Ayaan Das,2023-06-08 23:17:01,Lucknow,Uttar Pradesh,266390
C100059,Vivaan Sharma,2025-03-24 21:55:38,Bhopal,Madhya Pradesh,143734
C100060,Aadhya Reddy,2023-03-07 07:37:53,Mumbai,Maharashtra,323299
C100061,Arjun Gupta,2025-04-11 15:25:23,Nagpur,Maharashtra,252728
C100062,Diya Nair,2024-08-13 03:04:16,Nagpur,Maharashtra,614609
C100063,Aditya Sharma,2025-08-22 15:49:46,Noida,Uttar Pradesh,506848
C100064,Aditya Khan,2025-05-29 18:12:24,Kolkata,West Bengal,433923
C100065,Myra Pandey,2025-02-13 05:45:26,Kolkata,West Bengal,493331
C100066,Aditya Sharma,2023-02-16 15:31:12,Chennai,Tamil Nadu,226603
C100067,Arjun Yadav,2023-06-30 02:07:21,Hyderabad,Telangana,651228
C100068,Khushi Reddy,2025-02-23 21:04:06,Bengaluru,Karnataka,159297
C100069,Krishna Yadav,2023-03-21 10:37:39,Delhi,Delhi,170107
C100070,Ishaan Das,2023-07-24 07:40:54,Bhopal,Madhya Pradesh,454937
C100071,Ira Gupta,2023-11-06 22:42:15,Bhopal,Madhya Pradesh,519898
C100072,Reyansh Sharma,2023-01-13 18:26:23,Gurugram,Haryana,653910
C100073,Sarah Mehta,2025-03-05 01:47:46,Chennai,Tamil Nadu,402552
C100074,Vihaan Pandey,2024-03-01 00:35:56,Surat,Gujarat,256479
C100075,Arjun Reddy,2025-06-08 12:23:34,Chennai,Tamil Nadu,270381
C100076,Reyansh Mehta,2024-02-02 22:16:52,Chennai,Tamil Nadu,203190
C100077,Myra Choudhary,2024-07-31 06:12:04,Jaipur,Rajasthan,522111
C100078,Vihaan Mehta,2025-05-21 20:13:49,Chennai,Tamil Nadu,327984
C100079,Reyansh Choudhary,2023-02-16 22:55:26,Surat,Gujarat,634658
C100080,Navya Patel,2025-04-08 00:52:38,Bhopal,Madhya Pradesh,486356
C100081,Vivaan Yadav,2023-01-25 09:00:40,Mysuru,Karnataka,660901
C100082,Ira Pandey,2024-02-14 02:37:14,Mysuru,Karnataka,113196
C100083,Sai Das,2024-03-11 20:13:43,Ahmedabad,Gujarat,611072
C100084,Diya Das,2023-05-31 16:12:05,Lucknow,Uttar Pradesh,622191
C100085,Sarah Pandey,2023-09-12 07:42:30,Bhopal,Madhya Pradesh,336009
C100086,Ananya Yadav,2024-02-08 01:27:20,Surat,Gujarat,545132
C100087,Reyansh Pandey,2024-12-09 02:01:33,Chennai,Tamil Nadu,642860
C100088,Aarav Sharma,2024-04-04 22:41:30,Hyderabad,Telangana,616528
C100089,Sarah Mehta,2024-02-20 20:51:01,Bhopal,Madhya Pradesh,531441
C100090,Krishna Gupta,2023-07-20 16:04:19,Lucknow,Uttar Pradesh,680141
C100091,Reyansh Patel,2025-08-31 13:42:47,Bengaluru,Karnataka,226074
C100092,Ayaan Choudhary,2024-09-25 23:23:06,Bhopal,Madhya Pradesh,563112
C100093,Krishna Pandey,2024-07-02 05:27:26,Kolkata,West Bengal,677497
C100094,Arjun Sharma,2025-09-04 18:07:12,Jaipur,Rajasthan,600391
C100095,Navya Yadav,2024-06-25 01:29:45,Coimbatore,Tamil Nadu,521267
